CountryCode,y2005,y2006,y2007,y2008,y2009,y2010,y2011,y2012,y2013,y2014,y2015
MIC,4876465802,4935060994.32162,4993212656.01082,5051827515.56309,5111211369.52342,5171057627.58148,5231532995.08148,5292465511.67738,5353977730.14214,5415880792.34039,5477740153.37425
MKD,2042894,2047330,2051427,2055266,2058920,2062443,2065888,2069270,2072543,2075625,2078453
MLI,12881384,13309942,13759226,14223403,14694565,15167286,15639115,16112333,16592097,17086022,17599694
MLT,403834,405308,406724,409379,412477,414508,416268,419455,423374,427364,431333
MMR,49984704,50355559,50698814,51030006,51369725,51733013,52125411,52543841,52983829,53437159,53897154
MNA,303621727,308994950,314531268,320229174,326041106,331928764,337908291,343940245,350056720,356262920,362560941
MNE,614261,615025,615875,616969,618294,619428,620079,620601,621207,621810,622388
MNG,2526447,2558484,2592776,2629666,2669572,2712657,2759074,2808339,2859174,2909871,2959134
MNP,64372,62235,59791,57343,55276,53860,53234,53314,53869,54541,55070
MOZ,21126676,21737860,22359637,22994867,23647815,24321457,25016921,25732928,26467180,27216276,27977863
MRT,3154087,3241762,3328285,3414552,3501927,3591400,3683221,3777067,3872684,3969625,4067564
MUS,1228254,1233996,1239630,1244121,1247429,1250400,1252404,1255882,1258653,1260934,1262605
MWI,12747846,13112383,13498377,13904671,14329056,14769824,15226813,15700436,16190126,16695253,17215232
MYS,25796124,26263048,26730607,27197419,27661017,28119500,28572970,29021940,29465372,29901997,30331007
NAC,327892753,331014940,334184023,337405012,340465736,343417261,346126201,348918897,351647895,354516198,357335829
NAM,2027026,2053915,2083174,2115703,2152357,2193643,2240161,2291645,2346592,2402858,2458830
NCL,231000,235000,238000,242000,245000,250000,254000,259000,263000,268000,273000
NER,13485436,13995530,14527631,15085130,15672194,16291990,16946485,17635782,18358863,19113728,19899120
NGA,139611303,143318011,147152502,151115683,155207145,159424742,163770669,168240403,172816517,177475986,182201962
NIC,5379327,5450217,5522119,5594524,5666595,5737722,5807787,5877034,5945646,6013913,6082032
NLD,16319868,16346101,16381696,16445593,16530388,16615394,16693074,16754962,16804432,16865008,16936520
NOR,4623291,4660677,4709153,4768212,4828726,4889252,4953088,5018573,5079623,5137232,5195921
NPL,25506847,25794344,26063619,26325183,26592666,26875910,27179237,27500515,27834981,28174724,28513700
NRU,10115,10101,10075,10047,10028,10025,10043,10079,10125,10176,10222
NZL,4133900,4184600,4223800,4259800,4302600,4350700,4384000,4408100,4442100,4509700,4595700
OED,1196962245,1205728104,1214788964,1224342695,1233168788,1241452689,1249545623,1256007864,1265803480,1272988093,1280996600
OMN,2506891,2553376,2593750,2652281,2762073,2943747,3210003,3545192,3906912,4236057,4490541
OSS,22912669,23463471,24080704,24732235,25360267,25965594,26564437,27109032,27632006,28142985,28650005
PAK,153356383,156524189,159767672,163096985,166520983,170043918,173669648,177392252,181192646,185044286,188924874
PAN,3319301,3378600,3438398,3498679,3559401,3620506,3681979,3743761,3805683,3867535,3929141
PER,27610406,27949958,28292768,28642048,29001563,29373644,29759891,30158768,30565461,30973148,31376670
PHL,86141373,87592899,88965508,90297115,91641881,93038902,94501233,96017322,97571676,99138690,100699395
PLW,19907,20012,20118,20227,20344,20470,20606,20756,20919,21097,21291
PNG,6086905,6236158,6387470,6540267,6693799,6847517,7001172,7154870,7308864,7463577,7619321
POL,38165445,38141267,38120560,38125759,38151603,38042794,38063255,38063164,38040196,38011735,37999494
PRE,637375179,655915560,674958034,694563093,714815271,735769429,757484446,779862983,802855752,826352062,850271023
PRI,3821362,3805214,3782995,3760866,3740410,3721526,3678736,3634487,3593079,3534888,3474182
PRK,23813324,23969897,24111945,24243829,24371806,24500506,24631359,24763353,24895705,25026772,25155317
PRT,10503330,10522288,10542964,10558177,10568247,10573100,10557560,10514844,10457295,10401062,10348648
PRY,5795493,5882797,5966160,6047131,6127847,6209877,6293763,6379162,6465669,6552518,6639123
PSS,2071588,2097182,2124650,2153399,2182547,2211421,2239849,2267982,2295834,2323513,2351091
PST,1046651906,1052284984,1058116566,1064539739,1070040846,1075073808,1079590396,1082692198,1089081466,1092938826,1097737383
PYF,254884,257731,260361,262877,265412,268065,270862,273775,276766,279781,282764
QAT,836924,988448,1178955,1388962,1591151,1765513,1905437,2015624,2101288,2172065,2235355
ROU,21319685,21193760,20882982,20537875,20367487,20246871,20147528,20058035,19983693,19908979,19832389
RUS,143518523,143049528,142805088,142742350,142785342,142849449,142960868,143201676,143506911,143819569,144096812
RWA,9008230,9231041,9481083,9750314,10024594,10293669,10556429,10817350,11078095,11341544,11609666
SAS,1510864613,1534949611,1558685624,1582147481,1605443788,1628688562,1651888921,1675019307,1698093032,1721152580,1744161298
SAU,24745230,25419994,26083522,26742842,27409491,28090647,28788438,29496047,30201051,30886545,31540372
SDN,31990003,32809056,33637960,34470138,35297298,36114885,36918193,37712420,38515095,39350274,40234882
SEN,11268994,11578430,11897230,12229703,12581624,12956791,13357003,13780108,14221041,14672557,15129273
SGP,4265762,4401365,4588599,4839396,4987573,5076732,5183688,5312437,5399162,5469724,5535002
SLB,469306,480716,492075,503410,514767,526177,537648,549162,560685,572171,583591
SLE,5071271,5243214,5391108,5521838,5647194,5775902,5908908,6043157,6178859,6315627,6453184
SLV,5947206,5967556,5986414,6004199,6021368,6038306,6055208,6072233,6089644,6107706,6126583
SMR,29242,29568,29874,30160,30431,30690,30938,31172,31391,31595,31781
SOM,8466938,8686939,8909015,9132589,9356827,9581714,9806670,10033630,10268157,10517569,10787104
SRB,7440769,7411569,7381579,7350222,7320807,7291436,7234099,7199077,7164132,7130576,7098247
SSA,762393889,783273041.321616,804865417.01082,827152714.563093,850102987.52342,873690399.58148,897911089.081481,922766805.677377,948232478.142141,974280491.340388,1000888081.37425
SSD,8099908,8445659,8815495,9208598,9623176,10056475,10510122,10980623,11453810,11911184,12339812
SSF,762476789,783357641.321616,804950450.01082,827239670.563093,850190285.52342,873780169.58148,897998530.081481,922855108.677377,948322378.142141,974371891.340388,1000980981.37425
SST,31625173,32241884,32928941,33652912,34354027,35031584,35700983,36314122,36903594,37479355,38050062
STP,153146,156584,160064,163595,167196,170880,174646,178484,182386,186342,190344
SUR,491999,495953,500953,506657,512522,518141,523439,528535,533450,538248,542975
SVK,5372807,5373054,5374622,5379233,5386406,5391428,5398384,5407579,5413393,5418649,5424050
SVN,2000474,2006868,2018122,2021316,2039669,2048583,2052843,2057159,2059953,2061980,2063768
SWE,9029572,9080505,9148092,9219637,9298515,9378126,9449213,9519374,9600379,9696110,9798871
SWZ,1104642,1118204,1134853,1153750,1173529,1193148,1212458,1231694,1250641,1269112,1286970
SXM,36934,38270,39462,40458,39133,35474,33435,34640,36607,37685,38817
SYC,82900,84600,85033,86956,87298,89770,87441,88303,89900,91400,92900
SYR,18132842,18728200,19425597,20097057,20566871,20720602,20501167,19978756,19322593,18772481,18502413
TCA,26450,27642,28638,29481,30247,30993,31727,32430,33103,33740,34339
TCD,10067932,10423616,10779504,11139740,11510535,11896380,12298512,12715465,13145788,13587053,14037472
TEA,1870882188,1885233245,1898935255,1912445321,1925862760,1939296199,1952981621,1966974740,1981182565,1995584007,2009929013
TEC,435684965,436218371,436773705,437826163,439618582,441582321,443792065,446161259,448720643,451234370,453562136
TGO,5578219,5732175,5890414,6052937,6219761,6390851,6566179,6745581,6928719,7115163,7304578
THA,65863973,66174486,66353572,66453255,66548197,66692024,66902958,67164130,67451422,67725979,67959359
TJK,6805655,6949566,7099021,7254072,7414960,7581696,7753925,7930929,8111894,8295840,8481855
TKM,4747839,4801594,4858235,4917541,4978960,5041995,5106672,5172941,5240088,5307188,5373502
TLA,546612100,553844614,561061674,568252282,575398084,582484107,589506204,596463472,603347698,610149938,616862604
TMN,300301331,305588616,311036772,316632486,322338888,328117662,333981240,339893344,345887214,351968238,358138798
TLS,979201,996052,1013194,1030630,1048367,1066409,1120392,1148958,1180069,1212107,1245015
TON,100858,101507,102169,102816,103416,103947,104392,104769,105139,105586,106170
TSA,1510864613,1534949611,1558685624,1582147481,1605443788,1628688562,1651888921,1675019307,1698093032,1721152580,1744161298
TSS,762476789,783357641.321616,804950450.01082,827239670.563093,850190285.52342,873780169.58148,897998530.081481,922855108.677377,948322378.142141,974371891.340388,1000980981.37425
TTO,1296933,1303141,1309260,1315372,1321624,1328095,1334790,1341579,1348240,1354483,1360088
TUN,10029000,10127900,10225100,10328900,10439600,10547100,10673800,10777500,10886500,10996600,11107800
TUR,67860617,68704721,69515492,70344357,71261307,72310416,73517002,74849187,76223639,77523788,78665830
TUV,9694,9732,9764,9788,9808,9827,9844,9860,9876,9893,9916
TZA,39065600,40260847,41522004,42844744,44222113,45648525,47122998,48645709,50213457,51822621,53470420
UGA,28042413,29000925,29991958,31014427,32067125,33149417,34260342,35400620,36573387,37782971,39032383
UKR,47105150,46787750,46509350,46258200,46053300,45870700,45706100,45593300,45489600,45362900,45198200
UMC,2362117770,2380136081.32162,2397567310.01082,2415305551.56309,2433652496.52342,2452054615.58148,2470970958.08148,2490585642.67738,2510573363.14214,2530632448.34039,2550326055.37425
URY,3325608,3331041,3339750,3350832,3362761,3374414,3385610,3396753,3407969,3419516,3431555
USA,295516599,298379912,301231207,304093966,306771529,309346863,311718857,314102623,316427395,318907401,321418820
UZB,26167000,26488250,26868000,27302800,27767400,28562400,29339400,29774500,30243200,30757700,31299500
VCT,108749,108908,109049,109165,109255,109316,109341,109334,109327,109360,109462
VEN,26769115,27221228,27670659,28116716,28558607,28995745,29427631,29854238,30276045,30693827,31108083
VGB,23169,23908,24735,25604,26450,27223,27906,28511,29058,29585,30117
VIR,107863,107700,107423,107091,106707,106267,105784,105275,104737,104170,103574
VNM,82392100,83311200,84218500,85118700,86025000,86932500,87860300,88809200,89759500,90728900,91703800
VUT,209375,214635,219956,225335,230782,236299,241876,247498,253165,258883,264652
PSE,3320396,3406334,3494496,3596688,3702218,3811102,3927051,4046901,4169506,4294682,4422143
WLD,6513959903,6594722462.32162,6675832678.01082,6758302522.56309,6840955705.52342,6923684084.58148,7006907989.08148,7089451550.67738,7176092192.14214,7260780278.34039,7346633037.37425
WSM,179928,181072,182238,183440,184700,186029,187434,188901,190390,191845,193228
YEM,20504385,21093973,21701105,22322699,22954226,23591972,24234940,24882792,25533217,26183676,26832215
ZAF,47270062,47921682.3216162,48596781.0108201,49296222.5630927,50020917.5234195,50771825.5814796,51549958.0814815,52356380.6773771,53192216.1421408,54058647.3403884,54956920.3742456
COD,56089536,57926840,59834875,61809278,63845097,65938712,68087376,70291160,72552861,74877030,77266814
ZMB,12043591,12381509,12738676,13114579,13507849,13917439,14343526,14786581,15246086,15721343,16211767
ZWE,12984418,13127942,13297798,13495462,13720997,13973897,14255592,14565482,14898092,15245855,15602751
